Report Date	Sales Date	Quantity	Price	Subtotal	Isrc	Barcode	CDBabySku	Album Name	Artist Name	Track Name	Partner Name	Transaction Type	Delivery Country
2017-01-27	2017-01-03	2	3.527	7.055	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	LT
2017-01-27	2017-01-03	2	3.505	7.009	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	UK
2017-01-27	2017-01-03	1	3.486	3.486	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	HK
2017-01-27	2017-01-03	2	0.975	1.95	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	CA
2017-01-27	2017-01-03	2	3.509	7.019	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	iTunes - Apple Music – US	Stream	CZ
2017-01-27	2017-01-03	1	0.983	0.983	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	LU
2017-01-28	2017-01-04	2	0.971	1.941	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	JP
2017-01-28	2017-01-04	1	4.787	4.787	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	RO
2017-01-28	2017-01-04	2	0.977	1.954	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	KG
2017-01-28	2017-01-04	2	0.892	1.784	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	LT
2017-01-29	2017-01-05	2	0.941	1.881	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	SG
2017-01-29	2017-01-05	1	0.794	0.794	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	LV
2017-01-29	2017-01-05	2	4.77	9.539	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	YouTube Music	Stream	ZA
2017-01-29	2017-01-05	1	1.738	1.738	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Amazon US Premium Service	Stream	KG
2017-01-29	2017-01-05	2	0.948	1.895	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	MY
2017-01-29	2017-01-05	1	0.84	0.84	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	FR
2017-01-29	2017-01-05	1	3.49	3.49	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	SE
2017-01-29	2017-01-05	2	4.793	9.586	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	CA
2017-01-29	2017-01-05	1	0.912	0.912	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	SA
2017-01-29	2017-01-05	2	3.513	7.025	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	IL
2017-01-29	2017-01-05	2	0.969	1.939	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	HK
2017-01-29	2017-01-05	2	3.518	7.037	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	CH
2017-01-29	2017-01-05	1	1.829	1.829	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Download	KR
2017-01-30	2017-01-06	1	4.809	4.809	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	AE
2017-01-30	2017-01-06	2	1.727	3.454	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Amazon US Premium Service	Download	RU
2017-01-30	2017-01-06	2	0.947	1.894	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	CZ
2017-01-30	2017-01-06	1	0.927	0.927	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	ZA
2017-01-31	2017-01-07	2	3.49	6.98	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	JP
2017-01-31	2017-01-07	2	0.747	1.494	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	FR
2017-01-31	2017-01-07	2	1.793	3.586	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Amazon US Premium Service	Stream	CH
2017-01-31	2017-01-07	2	0.799	1.598	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	LT
2017-01-31	2017-01-07	2	4.826	9.651	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	KG
2017-01-31	2017-01-07	2	1.787	3.575	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	HR
2017-01-31	2017-01-07	2	3.485	6.971	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	GB
2017-01-31	2017-01-07	2	4.823	9.645	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	CO
2017-01-31	2017-01-07	2	4.845	9.69	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	YouTube Music	Stream	MX
2017-01-31	2017-01-07	2	0.797	1.594	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	CR
2017-01-31	2017-01-07	2	0.875	1.75	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	LV
2017-01-31	2017-01-07	2	1.779	3.558	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	MY
2017-01-31	2017-01-07	1	0.908	0.908	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	ZA
2017-01-31	2017-01-07	1	4.795	4.795	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	RU
2017-01-31	2017-01-07	1	0.943	0.943	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	DE
2017-01-31	2017-01-07	1	3.471	3.471	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	LV
2017-01-31	2017-01-07	2	0.875	1.75	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	MY
2017-01-31	2017-01-07	2	0.814	1.628	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	EG
2017-02-01	2017-01-08	2	0.992	1.985	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	US
2017-02-01	2017-01-08	2	4.815	9.631	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	YouTube Music	Stream	EG
2017-02-01	2017-01-08	2	1.866	3.732	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Amazon US Premium Service	Download	ZA
2017-02-02	2017-01-09	1	3.509	3.509	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	SG
2017-02-02	2017-01-09	2	1.807	3.615	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	AE
2017-02-02	2017-01-09	1	1.765	1.765	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Download	FR
2017-02-02	2017-01-09	2	3.503	7.006	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	iTunes - Apple Music – US	Stream	HR
2017-02-02	2017-01-09	1	0.952	0.952	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	US
2017-02-02	2017-01-09	1	1.796	1.796	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	KG
2017-02-02	2017-01-09	1	0.782	0.782	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	FR
2017-02-02	2017-01-09	2	3.517	7.035	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	iTunes - Apple Music – US	Stream	SE
2017-02-02	2017-01-09	2	3.495	6.989	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	LU
2017-02-02	2017-01-09	2	1.794	3.587	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	GB
2017-02-02	2017-01-09	1	0.798	0.798	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	SA
2017-02-02	2017-01-09	2	0.943	1.886	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	US
2017-02-02	2017-01-09	2	0.814	1.629	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	GB
2017-02-02	2017-01-09	1	0.902	0.902	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	JP
2017-02-02	2017-01-09	2	3.465	6.93	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	CR
2017-02-02	2017-01-09	2	4.83	9.659	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	BG
2017-02-03	2017-01-10	1	3.53	3.53	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	FR
2017-02-03	2017-01-10	2	1.773	3.546	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Download	CH
2017-02-03	2017-01-10	2	4.798	9.596	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	MX
2017-02-03	2017-01-10	1	0.972	0.972	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	EG
2017-02-03	2017-01-10	2	4.807	9.615	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	NL
2017-02-03	2017-01-10	1	0.966	0.966	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	UA
2017-02-03	2017-01-10	1	3.501	3.501	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	iTunes - Apple Music – US	Stream	KG
2017-02-03	2017-01-10	1	0.956	0.956	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	MX
2017-02-03	2017-01-10	2	0.952	1.904	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	LV
2017-02-03	2017-01-10	1	1.764	1.764	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	SG
2017-02-03	2017-01-10	2	0.833	1.667	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	UK
2017-02-03	2017-01-10	1	0.856	0.856	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	SE
2017-02-03	2017-01-10	1	3.467	3.467	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	NL
2017-02-03	2017-01-10	1	1.784	1.784	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Amazon US Premium Service	Stream	BG
2017-02-03	2017-01-10	1	4.797	4.797	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	DE
2017-02-03	2017-01-10	2	3.526	7.052	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	KG
2017-02-03	2017-01-10	2	4.844	9.687	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	YouTube Music	Stream	KR
2017-02-03	2017-01-10	2	0.806	1.612	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Tidal	Stream	LV
2017-02-03	2017-01-10	2	3.505	7.009	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	MX
2017-02-04	2017-01-11	2	0.815	1.629	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	BE
2017-02-04	2017-01-11	1	0.819	0.819	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	RU
2017-02-04	2017-01-11	2	0.986	1.972	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	US
2017-02-04	2017-01-11	1	4.791	4.791	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	YouTube Music	Stream	US
2017-02-04	2017-01-11	1	4.82	4.82	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	DE
2017-02-04	2017-01-11	2	3.525	7.05	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	iTunes - Apple Music – US	Stream	CZ
2017-02-04	2017-01-11	1	0.938	0.938	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	CR
2017-02-04	2017-01-11	2	4.812	9.623	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	ZA
2017-02-04	2017-01-11	1	0.821	0.821	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	BE
2017-02-04	2017-01-11	1	4.812	4.812	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	DE
2017-02-05	2017-01-12	1	4.771	4.771	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	CR
2017-02-05	2017-01-12	2	0.955	1.91	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	AE
2017-02-05	2017-01-12	1	1.805	1.805	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	KG
2017-02-05	2017-01-12	1	1.768	1.768	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	GE
2017-02-05	2017-01-12	2	0.965	1.93	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	RO
2017-02-05	2017-01-12	1	4.778	4.778	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	CR
2017-02-05	2017-01-12	1	0.949	0.949	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	DE
2017-02-05	2017-01-12	2	3.505	7.01	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	iTunes - Apple Music – US	Stream	LT
2017-02-05	2017-01-12	2	0.838	1.677	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	FR
2017-02-05	2017-01-12	1	4.761	4.761	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	CY
2017-02-05	2017-01-12	1	4.839	4.839	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	EG
2017-02-05	2017-01-12	1	4.828	4.828	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	YouTube Music	Stream	LU
2017-02-05	2017-01-12	1	0.795	0.795	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	LT
2017-02-05	2017-01-12	2	4.81	9.621	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	LT
2017-02-05	2017-01-12	2	4.818	9.636	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	YouTube Music	Stream	LV
2017-02-06	2017-01-13	2	4.751	9.502	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	JP
2017-02-06	2017-01-13	2	0.963	1.926	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	UA
2017-02-06	2017-01-13	1	4.792	4.792	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	NL
2017-02-06	2017-01-13	2	1.811	3.622	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	KG
2017-02-06	2017-01-13	1	0.95	0.95	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Spotify	Stream	KR
2017-02-06	2017-01-13	2	3.519	7.037	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	iTunes - Apple Music – US	Stream	HR
2017-02-06	2017-01-13	2	0.937	1.873	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Spotify	Stream	GE
2017-02-06	2017-01-13	2	0.922	1.843	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Spotify	Stream	CY
2017-02-06	2017-01-13	1	0.874	0.874	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	ZA
2017-02-06	2017-01-13	2	1.834	3.667	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Amazon US Premium Service	Download	KR
2017-02-06	2017-01-13	2	3.52	7.041	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	iTunes - Apple Music – US	Stream	CZ
2017-02-06	2017-01-13	2	0.888	1.776	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	LU
2017-02-06	2017-01-13	2	1.77	3.541	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	SA
2017-02-06	2017-01-13	1	1.795	1.795	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Stream	HR
2017-02-06	2017-01-13	1	4.775	4.775	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	YouTube Music	Stream	CO
2017-02-06	2017-01-13	1	1.723	1.723	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Amazon US Premium Service	Download	FR
2017-02-07	2017-01-14	2	0.786	1.572	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheddar	Tidal	Stream	KR
2017-02-08	2017-01-15	2	0.823	1.646	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	KG
2017-02-08	2017-01-15	1	1.782	1.782	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Amazon US Premium Service	Stream	MY
2017-02-08	2017-01-15	2	1.773	3.547	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Amazon US Premium Service	Download	AE
2017-02-08	2017-01-15	2	1.755	3.51	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Download	DE
2017-02-08	2017-01-15	2	0.826	1.651	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Cheesy Mac Daddy	Tidal	Stream	AE
2017-02-08	2017-01-15	2	3.503	7.006	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	iTunes - Apple Music – US	Stream	HR
2017-02-08	2017-01-15	1	0.961	0.961	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	Swiss Miss	Spotify	Stream	RO
2017-02-08	2017-01-15	1	1.805	1.805	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Amazon US Premium Service	Stream	RU
2017-02-09	2017-01-16	2	0.852	1.703	-----	-----	-----	Cheesy Pee (a.k.a. Cheese EP)	Radioactive Cheese	G.O.A.T.	Tidal	Stream	RO
